央视频道,#genre#
临时直播频道5,http://106.113.149.200:2222/rtp/239.254.201.68:6000
九屏直播频道,http://106.113.149.200:2222/rtp/239.254.200.248:6000
慢直播1,http://101.17.192.171:8007/rtp/239.253.94.1:6600
慢直播2,http://101.17.192.171:8007/rtp/239.253.94.2:6601
慢直播3,http://101.17.192.171:8007/rtp/239.253.94.3:6602
慢直播4,http://101.17.192.171:8007/rtp/239.253.94.4:6603
慢直播5,http://101.17.192.171:8007/rtp/239.253.94.5:6604
慢直播6,http://101.17.192.171:8007/rtp/239.253.94.6:6605
慢直播7,http://101.17.192.171:8007/rtp/239.253.94.7:6606
慢直播8,http://101.17.192.171:8007/rtp/239.253.94.8:6607
慢直播9,http://101.17.192.171:8007/rtp/239.253.94.9:6608
辅视角2-标清,http://106.113.149.200:2222/rtp/239.254.201.87:6000
慢直播11,http://101.17.192.171:8007/rtp/239.253.94.11:6610
慢直播12,http://101.17.192.171:8007/rtp/239.253.94.12:6611
慢直播13,http://101.17.192.171:8007/rtp/239.253.94.13:6612
慢直播14,http://101.17.192.171:8007/rtp/239.253.94.14:6613
慢直播15,http://101.17.192.171:8007/rtp/239.253.94.15:6614
慢直播16,http://101.17.192.171:8007/rtp/239.253.94.16:6615
慢直播17,http://101.17.192.171:8007/rtp/239.253.94.17:6616
慢直播18,http://101.17.192.171:8007/rtp/239.253.94.18:6617
慢直播19,http://101.17.192.171:8007/rtp/239.253.94.19:6618
慢直播20,http://101.17.192.171:8007/rtp/239.253.94.20:6619
慢直播21,http://101.17.192.171:8007/rtp/239.253.94.21:6620
慢直播22,http://101.17.192.171:8007/rtp/239.253.94.22:6621
慢直播23,http://101.17.192.171:8007/rtp/239.253.94.23:6622
慢直播24,http://101.17.192.171:8007/rtp/239.253.94.24:6623
慢直播九屏1,http://101.17.192.171:8007/rtp/239.253.94.25:6624
临时直播,http://101.17.192.171:8007/rtp/239.253.92.116:6029
慢直播九屏3,http://101.17.192.171:8007/rtp/239.253.94.27:6626
主视角-4K,http://101.17.192.171:8007/rtp/239.253.93.123:6291
主视角-高清,http://101.17.192.171:8007/rtp/239.253.93.124:6292
辅视角1-高清,http://101.17.192.171:8007/rtp/239.253.93.125:6293
辅视角 2-高清,http://101.17.192.171:8007/rtp/239.253.93.126:6294
辅视角 3-高清,http://101.17.192.171:8007/rtp/239.253.93.127:6295
